2018-11-17 02:16:04.643 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5+6
2018-11-17 02:16:04.643 INFO  com.hcq.socket.client.Client - 107
2018-11-17 02:16:04.643 INFO  com.hcq.socket.client.Client - 表达式为 ：7+10
2018-11-17 02:16:04.644 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7+10
2018-11-17 02:16:04.645 INFO  com.hcq.socket.client.Client - 104
2018-11-17 02:16:04.645 INFO  com.hcq.socket.client.Client - 表达式为 ：1-2
2018-11-17 02:16:04.646 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1-2
2018-11-17 02:16:04.646 INFO  com.hcq.socket.client.Client - -1
2018-11-17 02:16:04.646 INFO  com.hcq.socket.client.Client - 表达式为 ：0/2
2018-11-17 02:16:04.647 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0/2
2018-11-17 02:16:04.647 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.647 INFO  com.hcq.socket.client.Client - 表达式为 ：5+3
2018-11-17 02:16:04.648 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5+3
2018-11-17 02:16:04.649 INFO  com.hcq.socket.client.Client - 104
2018-11-17 02:16:04.649 INFO  com.hcq.socket.client.Client - 表达式为 ：9/6
2018-11-17 02:16:04.650 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9/6
2018-11-17 02:16:04.650 INFO  com.hcq.socket.client.Client - 1
2018-11-17 02:16:04.650 INFO  com.hcq.socket.client.Client - 表达式为 ：3+9
2018-11-17 02:16:04.651 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+9
2018-11-17 02:16:04.652 INFO  com.hcq.socket.client.Client - 108
2018-11-17 02:16:04.652 INFO  com.hcq.socket.client.Client - 表达式为 ：0+2
2018-11-17 02:16:04.653 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0+2
2018-11-17 02:16:04.653 INFO  com.hcq.socket.client.Client - 98
2018-11-17 02:16:04.654 INFO  com.hcq.socket.client.Client - 表达式为 ：9-3
2018-11-17 02:16:04.654 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9-3
2018-11-17 02:16:04.655 INFO  com.hcq.socket.client.Client - 6
2018-11-17 02:16:04.655 INFO  com.hcq.socket.client.Client - 表达式为 ：3+4
2018-11-17 02:16:04.656 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3+4
2018-11-17 02:16:04.657 INFO  com.hcq.socket.client.Client - 103
2018-11-17 02:16:04.657 INFO  com.hcq.socket.client.Client - 表达式为 ：3*5
2018-11-17 02:16:04.658 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息3*5
2018-11-17 02:16:04.658 INFO  com.hcq.socket.client.Client - 2703
2018-11-17 02:16:04.659 INFO  com.hcq.socket.client.Client - 表达式为 ：5-5
2018-11-17 02:16:04.659 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5-5
2018-11-17 02:16:04.660 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.660 INFO  com.hcq.socket.client.Client - 表达式为 ：7-10
2018-11-17 02:16:04.661 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息7-10
2018-11-17 02:16:04.661 INFO  com.hcq.socket.client.Client - 6
2018-11-17 02:16:04.662 INFO  com.hcq.socket.client.Client - 表达式为 ：6-1
2018-11-17 02:16:04.668 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息6-1
2018-11-17 02:16:04.669 INFO  com.hcq.socket.client.Client - 5
2018-11-17 02:16:04.669 INFO  com.hcq.socket.client.Client - 表达式为 ：2*9
2018-11-17 02:16:04.670 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息2*9
2018-11-17 02:16:04.671 INFO  com.hcq.socket.client.Client - 2850
2018-11-17 02:16:04.671 INFO  com.hcq.socket.client.Client - 表达式为 ：5-8
2018-11-17 02:16:04.672 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息5-8
2018-11-17 02:16:04.672 INFO  com.hcq.socket.client.Client - -3
2018-11-17 02:16:04.673 INFO  com.hcq.socket.client.Client - 表达式为 ：9-1
2018-11-17 02:16:04.674 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息9-1
2018-11-17 02:16:04.674 INFO  com.hcq.socket.client.Client - 8
2018-11-17 02:16:04.691 INFO  com.hcq.socket.client.Client - 表达式为 ：1+8
2018-11-17 02:16:04.692 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息1+8
2018-11-17 02:16:04.692 INFO  com.hcq.socket.client.Client - 105
2018-11-17 02:16:04.692 INFO  com.hcq.socket.client.Client - 表达式为 ：0/2
2018-11-17 02:16:04.693 INFO  com.hcq.socket.server.ServerHandler - 服务器收到信息0/2
2018-11-17 02:16:04.693 INFO  com.hcq.socket.client.Client - 0
2018-11-17 02:16:04.694 INFO  com.hcq.socket.client.Client - 表达式为 ：3*3
